zip_code_tabulation_area	B24091_001E
05254	52045
05255	46667
05257	43146
05260	41875
05261	42121
05262	42819
05301	46838
05340	45850
05341	43125
05342	41563
05343	41719
05345	42325
05346	47443
05350	36635
05352	44643
05353	43438
05354	45900
05355	37159
05356	45446
05358	51406
05359	46250
05360	53125
05361	44150
05362	67083
05363	41080
05401	40701
05403	52350
05404	40765
05405	-666666666
05408	44679
05439	5500
05440	42171
05441	41875
05442	48250
05443	45179
05444	47417
05445	70500
05446	50384
05447	22222
05448	45682
05450	42046
05452	51085
05454	47379
05455	50729
05456	42237
05457	48250
05458	46571
05459	33164
05461	51543
05462	47917
05463	40208
05464	43649
05465	60197
05468	46971
05471	43438
05472	39732
05473	52434
05474	55000
05476	42306
05477	52799
05478	48110
05481	-666666666
05482	73435
05483	48813
05485	45167
05486	51300
05487	38882
05488	51506
05489	59539
05491	44407
05492	47614
05494	60393
05495	61327
05602	54243
05640	37083
05641	41843
05647	46023
05648	55625
05649	44432
05650	42500
05651	48625
05652	40792
05653	35446
05654	31411
05655	40385
05656	42022
05657	51607
05658	43415
05660	51579
05661	39720
05663	47076
05664	50024
05667	44347
05669	40761
05672	48918
05673	51435
05674	50822
05675	36579
05676	49881
05677	54701
05678	34063
05679	37932
05680	43548
05681	48750
05682	47308
05701	41440
05730	31667
05732	38237
05733	42448
05734	37663
05735	42443
05736	43958
05737	46417
05738	44773
05739	42898
05740	-666666666
05742	45096
05743	40313
05744	42216
05747	42500
05748	38750
05751	48636
05753	44352
05757	52067
05758	36761
05759	42074
05760	41000
05761	40469
05762	32604
05763	43676
05764	40893
05765	38693
05766	39886
05767	45921
05769	38922
05770	45096
05772	47727
05773	48679
05774	41765
05775	35536
05776	47083
05777	40509
05778	40833
05819	41326
05820	33750
05821	45750
05822	38281
05824	34688
05825	37188
05826	39398
05827	42292
05828	51824
05829	37949
05830	44620
05832	46118
05833	34688
05836	36536
05837	37273
05839	40417
05841	41667
05842	33438
05843	37290
05845	34083
05846	35288
05847	35729
05850	22143
05851	40550
05853	35375
05855	42480
05857	39732
05858	38281
05859	35481
05860	38542
05862	51429
05866	34583
05867	34722
05868	36313
05871	41184
05872	30000
05873	50882
05874	40000
05875	41528
05901	-666666666
05902	36103
05903	36667
05904	31875
05905	40865
05906	41250
05907	38750
06001	99464
06002	53229
06010	51970
06013	76691
06016	60303
06018	45417
06019	73339
06020	-666666666
06021	49732
06022	-666666666
06023	60840
06024	51773
06026	72525
06027	67273
06029	64568
06031	53945
06032	74648
06033	84799
06035	82072
06037	67562
06039	64258
06040	51447
06042	60437
06043	76328
06051	36253
06052	45941
06053	42710
06057	66933
06058	62688
06059	-666666666
06060	90425
06061	-666666666
06062	52249
06063	68681
06065	62500
06066	52097
06067	64598
06068	46688
06069	62113
06070	89135
06071	64111
06073	101324
06074	75836
06076	55035
06078	68434
06081	51567
06082	55263
06084	75088
06085	69758
06088	53159
06089	91667
06090	88594
06091	71750
06092	100583
06093	66194
06095	57573
06096	55266
06098	49713
06103	80174
06105	41602
06106	35136
06107	92058
06108	41996
06109	62287
06110	52554
06111	60669
06112	35913
06114	35539
06117	91315
06118	48898
06119	62856
06120	29330
06160	-666666666
06226	32854
06231	73750
06232	65581
06234	60821
06235	50965
06237	69191
06238	60868
06239	44902
06241	51383
06242	63125
06243	-666666666
06247	51625
06248	66453
06249	64491
06250	73361
06254	61786
06255	53230
06256	53640
06259	55071
06260	42683
06262	41645
06263	46713
06264	80893
06266	45028
06268	61506
06269	6647
06277	58304
06278	61983
06279	49132
06280	49541
06281	61976
06282	51953
06320	42154
06330	54861
06331	55173
06332	46406
06333	72060
06334	48510
06335	60165
06336	96250
06339	60372
06340	49385
06350	73854
06351	51143
06353	-666666666
06354	42250
06355	73532
06357	67878
06359	56148
06360	45245
06365	52656
06370	60606
06371	72315
06373	-666666666
06374	53006
06375	64025
06376	37361
06377	58582
06378	71372
06379	54675
06380	42647
06382	46385
06384	55815
06385	66789
06387	75714
06389	-666666666
06390	50781
06401	45498
06403	65065
06405	61356
06409	72969
06410	75977
06412	63015
06413	60186
06414	69519
06415	62221
06416	70593
06417	58516
06418	47909
06419	74821
06420	69821
06422	73125
06423	63913
06424	69452
06426	72794
06437	73257
06438	62656
06441	77768
06442	70907
06443	84144
06444	-666666666
06447	70616
06450	50778
06451	46181
06455	75958
06456	79531
06457	56851
06460	65693
06461	73219
06467	45600
06468	83948
06469	53625
06470	81403
06471	58881
06472	60352
06473	62263
06475	60316
06477	76024
06478	69930
06479	61657
06480	70890
06481	68750
06482	84936
06483	59529
06484	65373
06488	78205
06489	67187
06492	58776
06498	71332
06510	68636
06511	46547
06512	51005
06513	37163
06514	52609
06515	50836
06516	45452
06517	69154
06518	65519
06519	34649
06524	79187
06525	79800
06604	37391
06605	41380
06606	44061
06607	32647
06608	31652
06610	39715
06611	80760
06612	105088
06614	60982
06615	46694
06702	27857
06704	38175
06705	40271
06706	40606
06708	47136
06710	39452
06712	61152
06716	58286
06750	55132
06751	62566
06752	79145
06754	61000
06755	47344
06756	67313
06757	52857
06758	77875
06759	63659
06762	70547
06763	60813
06770	55198
06776	54388
06777	61694
06778	56042
06779	50944
06782	58200
06783	65605
06784	63274
06785	71705
06786	53185
06787	57037
06790	50002
06791	60909
06793	70962
06794	68472
06795	62784
06796	62188
06798	71029
06801	67374
06804	79912
06807	106052
06810	40855
06811	61749
06812	73888
06820	154671
06824	97485
06825	77586
06830	84177
06831	105265
06840	143750
06850	63054
06851	67082
06853	97375
06854	47154
06855	59246
06856	-666666666
06870	156685
06877	105668
06878	141855
06880	142994
06883	144750
06890	126602
06896	87368
06897	124555
06901	77363
06902	50697
06903	127973
06905	84157
06906	60950
06907	72917
07001	46805
07002	51154
07003	54538
07004	64085
07005	71869
07006	81663
07008	50848
07009	79035
